category,product,price_inr
electronics_and_accessories,Smartphone (mid-range),29999
electronics_and_accessories,Bluetooth Earbuds,1499
electronics_and_accessories,Smartwatch,2499
electronics_and_accessories,Power Bank,1499
electronics_and_accessories,Charging Cable,449
electronics_and_accessories,Phone Case,499
electronics_and_accessories,Screen Protector,299
electronics_and_accessories,Wireless Charger,1999
electronics_and_accessories,Laptop Bag,1499
electronics_and_accessories,Bluetooth Speaker,2499
electronics_and_accessories,Wired Headphones,999
electronics_and_accessories,USB Flash Drive (32GB),699
electronics_and_accessories,Portable Hard Drive (1TB),3999
electronics_and_accessories,Webcam,1499
electronics_and_accessories,Laptop Cooling Pad,1299
electronics_and_accessories,Fitness Tracker,2999
electronics_and_accessories,Action Camera,9999
electronics_and_accessories,VR Accessory,3999
electronics_and_accessories,Gaming Keyboard,4499
electronics_and_accessories,Car Bluetooth FM Transmitter,999
fashion_and_apparel,Men T-Shirt,799
fashion_and_apparel,Women Top,999
fashion_and_apparel,Kurti,1299
fashion_and_apparel,Jeans,1899
fashion_and_apparel,Leggings,799
fashion_and_apparel,Women Dress,1499
fashion_and_apparel,Casual Shirt,1299
fashion_and_apparel,Formal Shirt,1799
fashion_and_apparel,Shorts / Skirt,799
fashion_and_apparel,Scarf / Stole,499
fashion_and_apparel,Socks,199
fashion_and_apparel,Innerwear Set,699
fashion_and_apparel,Jacket / Hoodie,2499
fashion_and_apparel,Nightwear Set,999
fashion_and_apparel,Activewear,999
fashion_and_apparel,Kids T-Shirt,499
fashion_and_apparel,Saree,1499
fashion_and_apparel,Tie & Belt Set,699
fashion_and_apparel,Cap / Hat,399
fashion_and_apparel,Kids Ethnic Wear,899
footwear,Casual Sneakers,2499
footwear,Formal Shoes,2999
footwear,Sports Shoes,3499
footwear,Sandals / Slippers,999
footwear,Flip Flops,399
footwear,Loafers,2499
footwear,Boots,4999
footwear,Canvas Shoes,1499
footwear,Kids Sandals,899
footwear,Slip Ons,1199
footwear,Ballet Flats,1799
footwear,Heels,1999
footwear,Mules / Clogs,1499
footwear,Trekking Shoes,4499
footwear,Sock Shoes,1299
footwear,School Shoes,1199
footwear,Sports Sandals,1999
footwear,Orthopedic Shoes,3499
footwear,Leather Footwear,3499
footwear,Slides,799
grocery_and_fmcg,Rice (1kg),50
grocery_and_fmcg,Wheat Flour (1kg),36
grocery_and_fmcg,Sugar (1kg),40
grocery_and_fmcg,Salt (1kg),16
grocery_and_fmcg,Cooking Oil (1L),180
grocery_and_fmcg,Tea Pack,200
grocery_and_fmcg,Coffee Pack,300
grocery_and_fmcg,Biscuits Pack,28
grocery_and_fmcg,Chips Pack,45
grocery_and_fmcg,Mineral Water (1L),20
grocery_and_fmcg,Instant Noodles,30
grocery_and_fmcg,Sauce Bottle,120
grocery_and_fmcg,Breakfast Cereal,150
grocery_and_fmcg,Milk (1L),60
grocery_and_fmcg,Pulses (1kg),88
grocery_and_fmcg,Packed Juice,120
grocery_and_fmcg,Tea/Coffee Sachet,10
grocery_and_fmcg,Premium Biscuits,120
